epoch,train_loss_step_mean,train_loss,train_acc,train_nlpd,train_ece,val_loss,val_acc,val_nlpd,val_ece,test_loss,test_acc,test_nlpd,test_ece
1,11.030892721497187,8.45005481077893,0.029702970758080482,8.372543334960938,0.43994179368019104,9.60820135550924,0.011287128552794456,9.498957633972168,0.48783379793167114,9.511691699641766,0.012950494885444641,9.40926456451416,0.4815526604652405
2,7.9787184838021155,6.150867065580765,0.06930693238973618,6.117372512817383,0.29737263917922974,8.344231839132782,0.016584157943725586,8.306233406066895,0.4400479793548584,8.21648791307506,0.018455445766448975,8.181805610656738,0.43260321021080017
3,5.771441676829121,4.3879602262289215,0.15841583907604218,4.384788990020752,0.19642755389213562,7.473495241108507,0.02242574281990528,7.45742654800415,0.411959171295166,7.3198000059222235,0.027089109644293785,7.306260108947754,0.40255770087242126
4,4.067954606348925,3.043695383732862,0.3564356565475464,3.0436952114105225,0.12128399312496185,6.846135534531999,0.03371287137269974,6.837592124938965,0.3922257721424103,6.671388796438085,0.040554456412792206,6.665596008300781,0.3817414939403534
5,2.7854171696275767,2.031765956689816,0.5544554591178894,2.031766176223755,0.1918882131576538,6.400218271878686,0.047574255615472794,6.395170211791992,0.3797208070755005,6.209540608849856,0.05631683021783829,6.206775188446045,0.3690894842147827
6,1.858426313589115,1.29776398026117,0.7227723002433777,1.2977639436721802,0.18883486092090607,6.056482103555509,0.06178217753767967,6.052809238433838,0.36918842792510986,5.852675983542263,0.07207921147346497,5.851068019866943,0.35812562704086304
7,1.1594762589671823,0.8061048701257989,0.8514851331710815,0.8061048984527588,0.18308734893798828,5.8033602975146605,0.07623762637376785,5.800302028656006,0.36119645833969116,5.589190402267003,0.08685148507356644,5.588039398193359,0.34968751668930054
8,0.7174959761081355,0.4934220213701229,0.9207921028137207,0.4934220016002655,0.16003760695457458,5.615113315582275,0.08896039426326752,5.612371921539307,0.3559984266757965,5.391116531107685,0.10114851593971252,5.390078067779541,0.34244203567504883
9,0.45262117610119357,0.30375155098367446,0.9603960514068604,0.30375152826309204,0.12467639148235321,5.474461162302754,0.09806931018829346,5.471904754638672,0.3546598255634308,5.242121738924839,0.11346534639596939,5.241074085235596,0.33803966641426086
10,0.2609561172747376,0.19315031893772655,0.9702970385551453,0.1931503266096115,0.09381501376628876,5.369849489419767,0.10722772032022476,5.367354393005371,0.3527836501598358,5.131407600856063,0.12384158372879028,5.130311489105225,0.33544179797172546
11,0.16858234204868278,0.1274664316437032,0.9900990128517151,0.12746644020080566,0.07573987543582916,5.298046817401848,0.114207923412323,5.295465469360352,0.3524061441421509,5.054726411045188,0.13215841352939606,5.053497314453125,0.33459022641181946
12,0.11269066372130176,0.08133145266830331,1.0,0.08133143931627274,0.06434906274080276,5.242338753313121,0.11950495094060898,5.2397050857543945,0.3517042100429535,4.995173900755325,0.13829703629016876,4.993877410888672,0.33368349075317383
13,0.07456542884396149,0.05460148253063164,1.0,0.054601505398750305,0.048167500644922256,5.194995772862199,0.12430693209171295,5.192373752593994,0.3498353064060211,4.944791621519787,0.1428118795156479,4.943491458892822,0.33249032497406006
14,0.04946045592279717,0.03989599984471161,1.0,0.03989600017666817,0.03725424408912659,5.157027141457737,0.1285148561000824,5.15441370010376,0.3478456735610962,4.904717126298659,0.14744554460048676,4.903425216674805,0.3302634358406067
15,0.03752517110050315,0.031273166289423955,1.0,0.031273167580366135,0.029960865154862404,5.124836502452888,0.13143564760684967,5.122246742248535,0.3465554714202881,4.871226313751523,0.1501782238483429,4.869960308074951,0.329539954662323
16,0.030495276490207945,0.025770909715406964,1.0,0.025770900771021843,0.025021811947226524,5.096718112076863,0.13450494408607483,5.094148635864258,0.34456178545951843,4.842168231926342,0.15259405970573425,4.840930461883545,0.32859429717063904
17,0.02484595614236475,0.022086107052198732,1.0,0.022086113691329956,0.021592071279883385,5.070683559191109,0.13747525215148926,5.068142890930176,0.3422977030277252,4.815512713592831,0.1554059386253357,4.81431245803833,0.3267388641834259
18,0.021376033212141234,0.019486269295805752,1.0,0.019486259669065475,0.01913044974207878,5.047577459127596,0.13985148072242737,5.045063018798828,0.3404017388820648,4.792022421657449,0.157782182097435,4.790855407714844,0.32502925395965576
