epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,val_loss,val_acc,val_nlpd,val_ece
1,0.09999725846827562,1.5663458108901978,0.0,51712.0,0.0,0.0,1.320362288281086,0.6496312022209167,1.3182880878448486,0.10033264756202698
2,0.09998903417374229,1.5312844514846802,3.3361814075760776e-06,51756.18359375,3.3361814075760776e-06,6.445957095709571e-11,1.2831941086826384,0.6538461446762085,1.2810723781585693,0.09504431486129761
3,0.0999753280182866,1.442164421081543,6.713901257171528e-06,52078.390625,6.713901257171528e-06,1.2891914191419143e-10,1.2387784730772575,0.6612223386764526,1.2365906238555908,0.08713020384311676
4,0.09995614150494293,1.351219654083252,1.0256236237182748e-05,53037.046875,1.0256236237182748e-05,1.9337871287128714e-10,1.1942627264149448,0.6712328791618347,1.1920053958892822,0.07589732855558395
5,0.0999314767377287,1.2382473945617676,1.418459305568831e-05,55013.52734375,1.418459305568831e-05,2.5783828382838285e-10,1.158211815219031,0.6775553226470947,1.15604829788208,0.06709480285644531
6,0.09990133642141359,1.1319642066955566,1.8791723050526343e-05,58305.45703125,1.8791723050526343e-05,3.2229785478547854e-10,1.1287394257064112,0.6886196136474609,1.1264492273330688,0.05645323544740677
7,0.0998657238612229,1.0275599956512451,2.4402144845225848e-05,63094.18359375,2.4402144845225848e-05,3.867574257425743e-10,1.111736157922775,0.6854583621025085,1.1095112562179565,0.059253204613924026
8,0.09982464296247523,0.9471420645713806,3.1319788831751794e-05,69411.8125,3.1319788831751794e-05,4.5121699669967e-10,1.104515979614097,0.6786090731620789,1.102344036102295,0.06635214388370514
9,0.099778098230154,0.8662656545639038,3.978537642979063e-05,77151.8046875,3.978537642979063e-05,5.156765676567657e-10,1.0999325713568668,0.6817702651023865,1.097800612449646,0.06480301916599274
10,0.09972609476841367,0.8016924858093262,4.997733049094677e-05,86147.5859375,4.997733049094677e-05,5.801361386138614e-10,1.0960092784481632,0.6807165145874023,1.0937941074371338,0.06562245637178421
11,0.09966863828001983,0.7417598962783813,6.199438939802349e-05,96175.6171875,6.199438939802349e-05,6.445957095709571e-10,1.090379467754143,0.6875658631324768,1.0881731510162354,0.05979904159903526
12,0.09960573506572391,0.6817377209663391,7.588505104649812e-05,107022.7578125,7.588505104649812e-05,7.090552805280529e-10,1.0860530955773888,0.6938883066177368,1.0839197635650635,0.05409480631351471
13,0.09953739202357219,0.6213201284408569,9.168276301352307e-05,118527.4765625,9.168276301352307e-05,7.735148514851486e-10,1.0711532852546684,0.692307710647583,1.0690040588378906,0.05631892755627632
14,0.09946361664814943,0.5685117244720459,0.00010941455548163503,130570.28125,0.00010941455548163503,8.379744224422442e-10,1.0590228423931576,0.6965226531028748,1.0567688941955566,0.0560830682516098
