epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,val_loss,val_acc,val_nlpd,val_ece,val_aece,val_raw_cov_99,val_sel_acc_99,val_reliable_99,val_cov_99,val_class_cov_99,val_raw_cov_95,val_sel_acc_95,val_reliable_95,val_cov_95,val_class_cov_95,val_raw_cov_90,val_sel_acc_90,val_reliable_90,val_cov_90,val_class_cov_90,val_raw_cov_85,val_sel_acc_85,val_reliable_85,val_cov_85,val_class_cov_85,val_raw_cov_80,val_sel_acc_80,val_reliable_80,val_cov_80,val_class_cov_80
1,0.09999725846827562,1.4035911595467294,0.0,51754.00390625,0.0,0.0,1.2878772627063748,0.658061146736145,1.2856285572052002,0.09137792885303497,0.09155699389312491,0.1959957778453827,0.9838709831237793,0.0,0.0,0.0,0.3361433148384094,0.9592476487159729,1.0,0.3361433148384094,0.7920792079207921,0.4157007336616516,0.9391635060310364,1.0,0.4157007336616516,0.8811881188118812,0.4726027250289917,0.909699022769928,1.0,0.4726027250289917,0.9306930693069307,0.5142254829406738,0.8801229596138,1.0,0.5142254829406738,0.9504950495049505
2,0.09998903417374229,1.31171983775526,3.36345193759506e-06,52573.6875,3.3888773032231256e-06,6.445957095709571e-11,1.197070328151715,0.6691253781318665,1.1949282884597778,0.08042138814926147,0.08059527121240899,0.19704952836036682,0.9866310358047485,0.0,0.0,0.0,0.33561643958091736,0.9654631018638611,1.0,0.33561643958091736,0.7920792079207921,0.4209694266319275,0.9511889815330505,1.0,0.4209694266319275,0.8712871287128713,0.47154900431632996,0.9229050278663635,1.0,0.47154900431632996,0.9405940594059405,0.5200210809707642,0.8996960520744324,1.0,0.5200210809707642,0.9504950495049505
3,0.0999753280182866,1.1692199978497948,7.052854943869515e-06,56135.65625,7.236960300360806e-06,1.2891914191419143e-10,1.1170000987258928,0.685985267162323,1.1148041486740112,0.06561948359012604,0.0657912363681954,0.1991570144891739,0.9894179701805115,0.0,0.0,0.0,0.33877766132354736,0.9704509973526001,1.0,0.33877766132354736,0.7623762376237624,0.4193888306617737,0.9597989916801453,1.0,0.4193888306617737,0.8910891089108911,0.4773445725440979,0.9459161162376404,1.0,0.4773445725440979,0.9306930693069307,0.5237091779708862,0.9134808778762817,1.0,0.5237091779708862,0.9504950495049505
4,0.09995614150494293,1.0323945980260867,1.1797335675942347e-05,63815.171875,1.234049614140531e-05,1.9337871287128714e-10,1.055906944455789,0.698630154132843,1.0536407232284546,0.05437394976615906,0.05454494848894494,0.19968387484550476,0.9920844435691833,1.0,0.19968387484550476,0.594059405940594,0.34720757603645325,0.97420334815979,1.0,0.34720757603645325,0.7722772277227723,0.4241306781768799,0.9627329111099243,1.0,0.4241306781768799,0.8712871287128713,0.4794520437717438,0.9505494236946106,1.0,0.4794520437717438,0.9108910891089109,0.5247629284858704,0.9307228922843933,1.0,0.5247629284858704,0.9603960396039604
5,0.0999314767377287,0.9152073028064011,1.8418291207612724e-05,75392.2109375,1.943899769685231e-05,2.5783828382838285e-10,1.0170122680221896,0.7081137895584106,1.0148290395736694,0.04637741670012474,0.045594044869767605,0.1959957778453827,0.9946236610412598,1.0,0.1959957778453827,0.5841584158415841,0.3561643958091736,0.976331353187561,1.0,0.3561643958091736,0.7623762376237624,0.4272918999195099,0.9642416834831238,1.0,0.4272918999195099,0.8811881188118812,0.4789251983165741,0.9581958055496216,1.0,0.4789251983165741,0.9108910891089109,0.5300316214561462,0.9373757243156433,1.0,0.5300316214561462,0.9603960396039604
6,0.09990133642141359,0.818740975738752,2.7523519027382275e-05,90342.9765625,2.9117347366991453e-05,3.2229785478547854e-10,0.9904481108497644,0.7123287916183472,0.9882822632789612,0.04483354091644287,0.04420035794864088,0.19968387484550476,0.9894459247589111,0.0,0.0,0.0,0.3609062135219574,0.9781022071838379,1.0,0.3609062135219574,0.7524752475247525,0.43150684237480164,0.9670329689979553,1.0,0.43150684237480164,0.8712871287128713,0.4820864200592041,0.9551912546157837,1.0,0.4820864200592041,0.9405940594059405,0.5331928133964539,0.937747061252594,1.0,0.5331928133964539,0.9504950495049505
7,0.0998657238612229,0.7382813827826245,3.9487264669756174e-05,107840.875,4.170825923210941e-05,3.867574257425743e-10,0.9650307714122616,0.7228661775588989,0.9629203677177429,0.034150250256061554,0.03431038748476854,0.2054794579744339,0.9897435903549194,0.0,0.0,0.0,0.36195996403694153,0.9752547144889832,1.0,0.36195996403694153,0.7623762376237624,0.43782928586006165,0.9626955389976501,1.0,0.43782928586006165,0.8910891089108911,0.48630136251449585,0.9512459635734558,1.0,0.48630136251449585,0.9405940594059405,0.5326659679412842,0.9386745691299438,1.0,0.5326659679412842,0.9603960396039604
8,0.09982464296247523,0.6594495938556029,5.4327435365020494e-05,126364.109375,5.701763438992202e-05,4.5121699669967e-10,0.9359801952404267,0.7286617755889893,0.9339598417282104,0.0318131223320961,0.03209456757448999,0.20969441533088684,0.9899497628211975,0.0,0.0,0.0,0.3688092827796936,0.9742857217788696,1.0,0.3688092827796936,0.7920792079207921,0.4430980086326599,0.9643281698226929,1.0,0.4430980086326599,0.9108910891089109,0.4899894595146179,0.9473118185997009,1.0,0.4899894595146179,0.9603960396039604,0.5389884114265442,0.9403714537620544,1.0,0.5389884114265442,0.9702970297029703
9,0.099778098230154,0.5795695557452665,7.213124439712743e-05,146329.578125,7.545873086201027e-05,5.156765676567657e-10,0.9090704444336565,0.7360379099845886,0.9069473147392273,0.02747301384806633,0.029861179383587406,0.21074815094470978,0.9925000071525574,1.0,0.21074815094470978,0.5445544554455446,0.37618544697761536,0.9733893275260925,1.0,0.37618544697761536,0.801980198019802,0.4483667016029358,0.9623971581459045,1.0,0.4483667016029358,0.9306930693069307,0.49683877825737,0.9501590728759766,1.0,0.49683877825737,0.9504950495049505,0.5458377003669739,0.9411196708679199,1.0,0.5458377003669739,0.9603960396039604
10,0.09972609476841367,0.5117641663787389,9.31138312069487e-05,167265.59375,9.703682007966563e-05,5.801361386138614e-10,0.8841671355783123,0.7449947595596313,0.8822569251060486,0.0239546000957489,0.025428050279114846,0.21654373407363892,0.9927007555961609,1.0,0.21654373407363892,0.5445544554455446,0.37460485100746155,0.9760900139808655,1.0,0.37460485100746155,0.7920792079207921,0.4525816738605499,0.965075671672821,1.0,0.4525816738605499,0.9108910891089109,0.50632244348526,0.9521331787109375,1.0,0.50632244348526,0.9405940594059405,0.5537407994270325,0.9419600367546082,1.0,0.5537407994270325,0.9801980198019802
