epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,lambda_u,delta_par_sq_mean,delta_perp_sq_mean,alpha_mean,wBw_mean,var_logits_mean,var_logits_max,correction_abs_mean,val_loss,val_acc,val_nlpd,val_ece,val_aece,val_raw_cov_99,val_sel_acc_99,val_reliable_99,val_cov_99,val_class_cov_99,val_raw_cov_95,val_sel_acc_95,val_reliable_95,val_cov_95,val_class_cov_95,val_raw_cov_90,val_sel_acc_90,val_reliable_90,val_cov_90,val_class_cov_90,val_raw_cov_85,val_sel_acc_85,val_reliable_85,val_cov_85,val_class_cov_85,val_raw_cov_80,val_sel_acc_80,val_reliable_80,val_cov_80,val_class_cov_80
1,0.09999725846827562,1.2375489733006695,0.0,84832.0546875,0.0,0.0,0.01012225728482008,4.473332537724417e-10,0.0004589432792272419,1.6089690923690796,0.012216927483677864,1.9896974563598633,3.1218056678771973,2.8466758728027344,1.1475881802897558,0.670706033706665,1.1460936069488525,0.00996807124465704,0.01138408372161009,0.07744994759559631,1.0,1.0,0.07744994759559631,0.31683168316831684,0.229715496301651,0.9793577790260315,1.0,0.229715496301651,0.5841584158415841,0.3155953586101532,0.9649415612220764,1.0,0.3155953586101532,0.693069306930693,0.36986300349235535,0.9487179517745972,1.0,0.36986300349235535,0.8118811881188119,0.41517385840415955,0.9403553009033203,1.0,0.41517385840415955,0.8415841584158416
2,0.09998903417374229,1.1033302698985186,5.507834371786488e-06,86463.7421875,5.573415819526417e-06,6.445957095709571e-11,0.010107710026204586,4.399667474785929e-08,0.0069032516330480576,1.6083214282989502,0.012216498143970966,1.9859682321548462,2.8169455528259277,2.8141183853149414,1.0491464063917748,0.6944151520729065,1.0477274656295776,0.020633604377508163,0.021265469781968062,0.07692307978868484,1.0,1.0,0.07692307978868484,0.32673267326732675,0.24236038327217102,0.9847826361656189,1.0,0.24236038327217102,0.594059405940594,0.32297155261039734,0.980424165725708,1.0,0.32297155261039734,0.693069306930693,0.3798735439777374,0.96809983253479,1.0,0.3798735439777374,0.7821782178217822,0.42834562063217163,0.955719530582428,1.0,0.42834562063217163,0.8811881188118812
3,0.0999753280182866,0.9824957233844417,1.1388483210677156e-05,90425.7734375,1.1657612958515529e-05,1.2891914191419143e-10,0.009997786022722721,3.6447013940232864e-07,0.02256392501294613,1.6248598098754883,0.012218850664794445,1.9849523305892944,3.116844892501831,2.8966662883758545,0.9961532890733854,0.7123287916183472,0.9946187734603882,0.03529668226838112,0.03599543213153413,0.07850369065999985,1.0,1.0,0.07850369065999985,0.31683168316831684,0.24815595149993896,0.9915074110031128,1.0,0.24815595149993896,0.5841584158415841,0.32929399609565735,0.9824000000953674,1.0,0.32929399609565735,0.7227722772277227,0.38250789046287537,0.9724518060684204,1.0,0.38250789046287537,0.7722772277227723,0.43466806411743164,0.9672726988792419,1.0,0.43466806411743164,0.8613861386138614
4,0.09995614150494293,0.8962230587949848,1.8013800264711925e-05,95799.21875,1.852553032222204e-05,1.9337871287128714e-10,0.00941393617540598,1.317984811066708e-06,0.043797146528959274,1.6344133615493774,0.01222272776067257,1.880621075630188,2.903140068054199,2.5905840396881104,0.952796666463886,0.7186512351036072,0.9512698650360107,0.03807985037565231,0.04055904943272236,0.0890410989522934,1.0,1.0,0.0890410989522934,0.38613861386138615,0.25658586621284485,0.9958932399749756,1.0,0.25658586621284485,0.6138613861386139,0.3461538553237915,0.9847792983055115,1.0,0.3461538553237915,0.7128712871287128,0.39726027846336365,0.9761273264884949,1.0,0.39726027846336365,0.8118811881188119,0.4446786046028137,0.9644549489021301,1.0,0.4446786046028137,0.900990099009901
5,0.0999314767377287,0.8087079536796796,2.5489326896541292e-05,101734.75,2.6231113224639557e-05,2.5783828382838285e-10,0.008567633107304573,3.0122100724838674e-06,0.06724797189235687,1.6376007795333862,0.012226687744259834,1.7154483795166016,2.6834633350372314,2.6337802410125732,0.9025499276793292,0.7376185655593872,0.9010048508644104,0.03637836128473282,0.037835646762234894,0.10221285372972488,1.0,1.0,0.10221285372972488,0.4158415841584158,0.2771338224411011,0.9980988502502441,1.0,0.2771338224411011,0.6138613861386139,0.36037933826446533,0.9897660613059998,1.0,0.36037933826446533,0.7524752475247525,0.41675448417663574,0.9785082340240479,1.0,0.41675448417663574,0.8415841584158416,0.4646996855735779,0.9671201705932617,1.0,0.4646996855735779,0.900990099009901
6,0.09990133642141359,0.7280860431123488,3.387236545965453e-05,108290.140625,3.4901680919574574e-05,3.2229785478547854e-10,0.007539823185652494,6.374150416377233e-06,0.09312064945697784,1.6187442541122437,0.012229721993207932,1.4926432371139526,2.2670488357543945,2.2664437294006348,0.860737959878839,0.741833508014679,0.8591957092285156,0.03531479090452194,0.0269607876136004,0.11749209463596344,1.0,1.0,0.11749209463596344,0.43564356435643564,0.2992623746395111,0.9964788556098938,1.0,0.2992623746395111,0.6831683168316832,0.38408851623535156,0.9876543283462524,1.0,0.38408851623535156,0.801980198019802,0.43624868988990784,0.9806763529777527,1.0,0.43624868988990784,0.8514851485148515,0.4852476418018341,0.9695982336997986,1.0,0.4852476418018341,0.9207920792079208
7,0.0998657238612229,0.6476653654976646,4.333044759759744e-05,115550.15625,4.468988117878325e-05,3.867574257425743e-10,0.0064079854637384415,1.1406308658479247e-05,0.12175588309764862,1.64693284034729,0.012231011874973774,1.2908023595809937,2.0703940391540527,1.952751636505127,0.8250767261386546,0.7555321455001831,0.8235916495323181,0.028105244040489197,0.02750963292961,0.13804003596305847,1.0,1.0,0.13804003596305847,0.46534653465346537,0.32297155261039734,0.9983686804771423,1.0,0.32297155261039734,0.7326732673267327,0.40358272194862366,0.9882506728172302,1.0,0.40358272194862366,0.8118811881188119,0.46048471331596375,0.97826087474823,1.0,0.46048471331596375,0.8811881188118812,0.5110642910003662,0.9711340069770813,1.0,0.5110642910003662,0.9207920792079208
8,0.09982464296247523,0.5729576248933773,5.391187131512071e-05,123221.8671875,5.559980127145536e-05,4.5121699669967e-10,0.005389597732573748,1.8903210730059072e-05,0.15197893977165222,1.6436322927474976,0.012235159054398537,1.0838536024093628,1.6756916046142578,1.7066999673843384,0.7845795757526844,0.7676501870155334,0.7830291986465454,0.024148523807525635,0.02605804358191938,0.14805057644844055,1.0,1.0,0.14805057644844055,0.48514851485148514,0.3319283425807953,0.9984126687049866,1.0,0.3319283425807953,0.7326732673267327,0.4125395119190216,0.9897828698158264,1.0,0.4125395119190216,0.8514851485148515,0.4868282377719879,0.9772727489471436,1.0,0.4868282377719879,0.9207920792079208,0.5374078154563904,0.970588207244873,1.0,0.5374078154563904,0.9405940594059405
9,0.099778098230154,0.5036361943377127,6.573870560525464e-05,131529.125,6.782648415537551e-05,5.156765676567657e-10,0.004583496600389481,3.124647628283128e-05,0.18464021384716034,1.6651506423950195,0.01223783753812313,0.9340176582336426,1.3362646102905273,1.6196602582931519,0.756268686816112,0.7776606678962708,0.7547085881233215,0.027152467519044876,0.02299359057675674,0.15911485254764557,1.0,1.0,0.15911485254764557,0.5346534653465347,0.34035825729370117,0.9984520077705383,1.0,0.34035825729370117,0.7326732673267327,0.43308746814727783,0.9927007555961609,1.0,0.43308746814727783,0.8613861386138614,0.5010537505149841,0.9789695143699646,1.0,0.5010537505149841,0.9405940594059405,0.5526870489120483,0.9694947600364685,1.0,0.5526870489120483,0.9504950495049505
10,0.09972609476841367,0.44630231450099755,7.903923450261447e-05,140633.84375,8.15867751953192e-05,5.801361386138614e-10,0.003916687332093716,5.188565410207957e-05,0.22033129632472992,1.6364656686782837,0.012242442928254604,0.7846823334693909,1.1456639766693115,1.3144296407699585,0.7360632561531911,0.7829294204711914,0.7344613075256348,0.022314343601465225,0.016901074269800215,0.17334036529064178,1.0,1.0,0.17334036529064178,0.5445544554455446,0.3556375205516815,1.0,1.0,0.3556375205516815,0.7623762376237624,0.45100104808807373,0.9906542301177979,1.0,0.45100104808807373,0.8811881188118812,0.51896733045578,0.9766497611999512,1.0,0.51896733045578,0.9603960396039604,0.5695468783378601,0.9639223217964172,1.0,0.5695468783378601,0.9702970297029703
11,0.09966863828001983,0.39914509624537853,9.372932895485515e-05,149815.75,9.657059126766399e-05,6.445957095709571e-10,0.0033984382171183825,8.081446139840409e-05,0.2561933398246765,1.6413284540176392,0.01224534958600998,0.6830399036407471,0.9867645502090454,1.2347546815872192,0.7150896212323574,0.788724958896637,0.7135205864906311,0.015033595263957977,0.014360949883847897,0.1907270848751068,1.0,1.0,0.1907270848751068,0.5841584158415841,0.37776607275009155,0.9986053109169006,1.0,0.37776607275009155,0.7821782178217822,0.4741833508014679,0.9855555295944214,1.0,0.4741833508014679,0.8910891089108911,0.5353003144264221,0.9714567065238953,1.0,0.5353003144264221,0.9504950495049505,0.5848261117935181,0.9639639854431152,1.0,0.5848261117935181,0.9702970297029703
