epoch,lr,train_loss_step_mean,train_map_loss_mean,train_bayes_loss_mean,train_ctx_reg_mean,val_loss,val_acc,val_nlpd,val_ece
1,0.09999725846827562,1.7872221281032752,1.837719988114763,1.7872153910079804,0.0675144627469011,1.3298500998630665,0.6174920797348022,1.3298500776290894,0.05955180525779724
2,0.09998903417374229,1.3156059331232959,1.3700323045843898,1.31558363862557,0.22297992004026282,1.2045176237727366,0.643308699131012,1.2045176029205322,0.05156506970524788
3,0.0999753280182866,1.1935540921617263,1.2360153304468287,1.1935256802209533,0.284203696073872,1.1363704367859724,0.6548998951911926,1.1363704204559326,0.0470748133957386
4,0.09995614150494293,1.1142750423733552,1.151405426535276,1.1142448989471587,0.30137156997576797,1.0829660912585082,0.6691253781318665,1.0829660892486572,0.036247726529836655
5,0.0999314767377287,1.053814973571513,1.0885791542506453,1.0537843574391734,0.306005324467574,1.046990624217766,0.6780821681022644,1.0469906330108643,0.033791981637477875
6,0.09990133642141359,1.0028692259646879,1.0331823365523083,1.0028384746891437,0.30735062667638946,1.0242896238292858,0.6880927085876465,1.024289608001709,0.025793444365262985
7,0.0998657238612229,0.9656964581791717,0.9914069600624613,0.9656656850682627,0.30783605428025274,0.9990375195212812,0.6891464591026306,0.999037504196167,0.028594668954610825
8,0.09982464296247523,0.9328880014986095,0.9545663801750334,0.9328572047819005,0.3080663191209925,0.9776667224594615,0.6944151520729065,0.9776666164398193,0.022678468376398087
9,0.099778098230154,0.9028779823001069,0.9196817414595349,0.902847147814118,0.30823346529856765,0.9643191911900383,0.6970494985580444,0.9643191695213318,0.02153775468468666
10,0.09972609476841367,0.8803165495985805,0.8924420281211929,0.8802857245549117,0.308374551263186,0.9462045779092545,0.6991569995880127,0.9462044835090637,0.021721702069044113
11,0.09966863828001983,0.8483331545744792,0.8575294613838196,0.8483022840896456,0.3085076596477244,0.9291071045134919,0.7096943855285645,0.9291070699691772,0.016621431335806847
12,0.09960573506572391,0.8314200049579734,0.836290459231575,0.8313891297519798,0.30862619115574524,0.9169273293558489,0.7107481360435486,0.9169273376464844,0.024073349311947823
13,0.09953739202357219,0.8002243879998084,0.8021274085092073,0.8001935127938148,0.30876191270233383,0.8954220802942242,0.7233930230140686,0.8954219818115234,0.026697048917412758
14,0.09946361664814943,0.7709061674552389,0.7678594601036298,0.7708752922492452,0.3089048110022403,0.8827260402281493,0.7265542149543762,0.8827259540557861,0.019988613203167915
15,0.0993844170297569,0.7487313558559606,0.7433330635033032,0.7487004546835871,0.3090506101598834,0.8672819222991911,0.7270811200141907,0.8672818541526794,0.02183402143418789
16,0.09929980185352526,0.7235087708081349,0.7154301700025502,0.7234778407186565,0.3091959776264606,0.8571152229831643,0.7334035634994507,0.8571152091026306,0.022823525592684746
17,0.0992097803984621,0.7020519576450386,0.6918138702317039,0.7020210228344002,0.3093194867124652,0.8419061490934189,0.7391991019248962,0.8419060707092285,0.021360067650675774
18,0.09911436253643445,0.679425045405284,0.6663388131868722,0.6793941058734856,0.30945703210216935,0.8327297340328751,0.7449946999549866,0.832729697227478,0.024088993668556213
19,0.09901355873108611,0.6566389096845494,0.6414214803440736,0.656607974873911,0.3095828182626479,0.8244960928616458,0.7476290464401245,0.8244960308074951,0.022737393155694008
20,0.09890738003669029,0.6357682276480269,0.6176536189447536,0.6357372403144836,0.3097036200584752,0.8120789213853842,0.7497365474700928,0.8120788931846619,0.01878209598362446
21,0.09879583809693737,0.6154478233639556,0.5953515051024976,0.6154168289486724,0.3098298919082868,0.8034415355597959,0.7550052404403687,0.8034414649009705,0.026693591848015785
22,0.09867894514365802,0.6004580678326068,0.578126856596163,0.6004270734173236,0.30993630272327083,0.7992064148909928,0.7528977394104004,0.7992063760757446,0.01567257195711136
23,0.09855671399548181,0.577707848926582,0.5545850284028762,0.5776768521507187,0.3100555120128216,0.7878205223505564,0.7560589909553528,0.7878205180168152,0.017596613615751266
24,0.09842915805643157,0.5607090621891588,0.5335480871767101,0.5606780583315557,0.3101588711880221,0.7876217636594782,0.7528977394104004,0.787621796131134,0.01969890482723713
25,0.09829629131445343,0.5425751303682232,0.5163878226044154,0.5425440999540952,0.31026657796142126,0.779406249083508,0.7576395869255066,0.7794062495231628,0.020227879285812378
26,0.09815812833988292,0.5259716209798756,0.4950271000956545,0.5259405787628476,0.3103631073885625,0.7747604620846105,0.7586933374404907,0.7747604250907898,0.02109387144446373
27,0.09801468428384717,0.5078775398802049,0.47663877919168757,0.5078464858602769,0.310466471284923,0.7728702079885501,0.760800838470459,0.7728701829910278,0.01627928391098976
28,0.09786597487660338,0.49319477364568426,0.4591491240085942,0.4931637196257563,0.3105571765710812,0.7791049932654716,0.7581664323806763,0.7791049480438232,0.01364417839795351
29,0.09771201642581387,0.47826746253684016,0.4434809681802693,0.4782364046809697,0.3106606148257114,0.7638602822045506,0.7586933374404907,0.763860285282135,0.016909435391426086
30,0.09755282581475772,0.46577961905167836,0.42899881052498773,0.4657485446717479,0.31078551311304076,0.7568134495279937,0.7655426263809204,0.7568134069442749,0.01450901199132204
31,0.09738842050047931,0.45178811857015777,0.41722810976576097,0.45175702855138494,0.3108964187674003,0.7508824477080174,0.7660695314407349,0.7508823871612549,0.021610839292407036
32,0.09721881851187408,0.43871721418777315,0.3992435460043426,0.43868611236610033,0.31098849230473585,0.7445375178209471,0.7729188203811646,0.7445374727249146,0.018946200609207153
33,0.0970440384477113,0.4229453179505792,0.38426121833300825,0.42291420432600646,0.31107879511200554,0.7417314519872152,0.7750263214111328,0.7417314052581787,0.012000152841210365
34,0.0968640994745946,0.41102289917445417,0.3705819095715438,0.4109917855498814,0.3111848716098483,0.7279329835049596,0.7776606678962708,0.727932870388031,0.023679688572883606
35,0.0966790213248601,0.39717573812692475,0.3559988831529523,0.397144615060032,0.3112753662142423,0.7250889204324736,0.7792412638664246,0.725088894367218,0.026900647208094597
36,0.09648882429441259,0.38426347652284226,0.3416507651310156,0.3842323369318896,0.31134977258077945,0.7217760116207336,0.7818756103515625,0.7217759490013123,0.021495487540960312
