epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,val_loss,val_acc,val_nlpd,val_ece
1,0.09999725846827562,1.4208875835532009,0.0,51756.4921875,0.0,0.0,1.2817552510503722,0.6533192992210388,1.2795909643173218,0.09591075778007507
2,0.09998903417374229,1.306162150779573,3.3689896324653776e-06,52718.9296875,3.3982394143095007e-06,6.445957095709571e-11,1.1875414305667857,0.6749209761619568,1.1852421760559082,0.07295945286750793
3,0.0999753280182866,1.1538855793452498,7.131485011149659e-06,57045.734375,7.3542869358789176e-06,1.2891914191419143e-10,1.118603958721784,0.6844046115875244,1.1164474487304688,0.06236341595649719
4,0.09995614150494293,0.9954064205141351,1.2124829589822076e-05,65844.03125,1.2732833965856116e-05,1.9337871287128714e-10,1.0839144775312242,0.6928345561027527,1.081603765487671,0.05446958914399147
5,0.0999314767377287,0.8947820870002897,1.9200151655240916e-05,78882.0390625,2.0338809918030165e-05,2.5783828382838285e-10,1.0715372268467733,0.6928345561027527,1.0692681074142456,0.05634773150086403
6,0.09990133642141359,0.8132217969044601,2.8826816830614647e-05,94536.5234375,3.0468918339465745e-05,3.2229785478547854e-10,1.0599081484861947,0.698630154132843,1.0576765537261963,0.05324527993798256
7,0.0998657238612229,0.7322836937290607,4.1008192524579034e-05,111388.7265625,4.3080417526653036e-05,3.867574257425743e-10,1.0342836265694606,0.7038988471031189,1.0322051048278809,0.05142636224627495
8,0.09982464296247523,0.662420410921078,5.5768737192830474e-05,129345.8203125,5.836303535033949e-05,4.5121699669967e-10,1.0023949185211616,0.717597484588623,1.0003693103790283,0.04060175642371178
9,0.099778098230154,0.5859935366281188,7.311089373813795e-05,147632.953125,7.613085472257808e-05,5.156765676567657e-10,0.9633553697638315,0.7297154664993286,0.9613010883331299,0.03278881683945656
10,0.09972609476841367,0.5128809564774579,9.307891734423908e-05,166482.0,9.658222552388906e-05,5.801361386138614e-10,0.929122860238223,0.7381454110145569,0.9270590543746948,0.025956764817237854
11,0.09966863828001983,0.4481672709531123,0.00011586568705590055,185969.203125,0.00011987495236098766,6.445957095709571e-10,0.9017490814307467,0.7413066625595093,0.8997187614440918,0.026583991944789886
12,0.09960573506572391,0.3943352775998635,0.00014182780122979185,206689.984375,0.00014655462291557342,7.090552805280529e-10,0.8751913992446643,0.7523708939552307,0.8732196688652039,0.020675551146268845
13,0.09953739202357219,0.34777382606326945,0.00017111174981824427,228048.0625,0.00017639856378082186,7.735148514851486e-10,0.8536173468269211,0.7555321455001831,0.8516790270805359,0.02207604981958866
14,0.09946361664814943,0.3096773010669368,0.0002037130905969972,250167.28125,0.0002096337848342955,8.379744224422442e-10,0.8403240202350034,0.7565858960151672,0.8384444713592529,0.022305039688944817
15,0.0993844170297569,0.2688897319949499,0.00023961149987137629,272650.46875,0.0002460490504745394,9.0243399339934e-10,0.8281990120106929,0.7602739930152893,0.8262895941734314,0.021375272423028946
16,0.09929980185352526,0.2408969030521884,0.00027874818977687764,295581.84375,0.0002857961808331311,9.668935643564357e-10,0.8197376451703344,0.760800838470459,0.8178766369819641,0.02391127496957779
17,0.0992097803984621,0.21301183252051326,0.00032095655558013014,318464.53125,0.0003284493868704885,1.0313531353135314e-09,0.8139601417035022,0.7665964365005493,0.8121680617332458,0.021108517423272133
18,0.09911436253643445,0.1904709271275171,0.0003657872422072704,340866.78125,0.0003735261270776391,1.095812706270627e-09,0.8087915768738918,0.7681770324707031,0.8070012927055359,0.022793879732489586
19,0.09901355873108611,0.16806545189701685,0.00041300199993904495,362865.4375,0.00042102273437194526,1.1602722772277228e-09,0.8112293055989594,0.7687038779258728,0.8093729019165039,0.02512914314866066
20,0.09890738003669029,0.15329077028402008,0.00046241788209720264,384248.71875,0.0004706016625277698,1.2247318481848187e-09,0.8107058837366053,0.7708113789558411,0.8088972568511963,0.026546651497483253
